fuel,capture_ratio,rev_weighted_price,time_weighted_price,generation_mwh,gen_share_pct,capacity_factor_pct,avg_gen_mw,avg_price_when_on
Other,1.5289773534401792,35.794624761336216,23.410827296296297,814102,4.038555735454365,60.69444444444444,1862.933638443936,32.29479330282227
Hydro,1.1787551007835269,27.595632089071483,23.410827296296297,2972429,14.745474383039081,100.0,4128.373611111111,23.410827296296297
Natural Gas,1.14901365087219,26.89936014165573,23.410827296296297,7053721,34.991739856731584,100.0,9796.834722222222,23.410827296296297
Petroleum,1.0850653105048154,25.40227658943035,23.410827296296297,45186,0.22415640725884584,100.0,62.75833333333333,23.410827296296297
Wind,1.044075257288829,24.4426655327249,23.410827296296297,2432353,12.06629287091744,100.0,3378.2680555555557,23.410827296296297
Nuclear,1.0001465518702302,23.414258196820203,23.410827296296297,1635093,8.111286071218696,100.0,2270.9625,23.410827296296297
Coal,0.921944775378686,21.5834899131131,23.410827296296297,117816,0.5844556118622622,79.58333333333333,205.61256544502618,20.130372763234437
Solar,0.7130972919640319,16.69419754762653,23.410827296296297,5678015,28.167207603280563,83.05555555555556,9495.008361204013,21.600464186176143
